Homunculus_Area,Linear_Muscle_Coord
15,0.949236139423364
15,0.949236139423364
5,0.520005159968381
5,0.625611929214744
5,-0.171821107433836
5,-0.451099539408045
5,0.0107121601234387
5,0.638030362827196
5,-0.445358977314827
5,0.564228571333111
5,-0.0088135940386205
5,0.0464864761070877
5,0.0168057632680956
5,0.520005159968381
5,0.625611929214744
5,-0.171821107433836
5,-0.451099539408045
5,0.0107121601234387
5,0.638030362827196
5,-0.445358977314827
5,0.56422857133311
5,-0.00881359403862053
5,0.0464864761070872
5,0.0168057632680952
5,0.520005159968381
5,0.625611929214744
5,-0.171821107433836
5,-0.451099539408045
5,0.0107121601234387
5,0.638030362827196
5,-0.445358977314827
5,0.56422857133311
5,-0.00881359403862045
5,0.0464864761070877
5,0.0168057632680957
5,-0.451099539408045
5,-0.196448168467626
5,-0.134020052273752
5,-0.177650702668077
5,0.638030362827196
5,0.522163302498843
5,0.0655066077995027
5,-0.5277431440128
5,-0.385834523270227
5,-0.34796192479367
5,-1.16775520500272
5,-0.670965293467041
