Average_Shortest_Path,Impact_Score
2.68696479446479,6021.0654
3.77171788088455,4120.3354
3.33634751051418,4045.1619
3.32523639940307,4447.616
3.77171788088455,4118.23
3.34042158458826,4751.5986
2.851162325329,4851.7095
2.84375491792159,4859.4663
3.30455738705739,5428.7607
2.90869318952653,6241.3726
2.57529812779813,5856.855
3.09302170868348,3128.549
4.04302170868348,1735.8057
4.04302170868348,1771.8467
3.55320689386867,1777.7054
3.07635504201681,3127.6335
3.07635504201681,2985.9207
3.55320689386867,1827.52
4.04672541238719,1790.3015
4.04672541238719,1765.0038
1.75261973925373,5478.1714
1.75156672545561,5400.4165
1.75064079952969,5523.778
1.74878894767784,5606.484
1.74402038593215,5722.0146
1.7503430075734,5334.328
1.75846470069509,4893.732
1.75923630563336,4704.1416
1.7587733426704,4586.644
1.73891962340492,4389.889
1.73891962340492,4236.652
1.75261973925373,5554.168
1.75156672545561,5338.927
1.75064079952969,5541.4263
1.74878894767784,5607.4375
1.74402038593215,5721.359
1.7503430075734,5334.5957
1.75846470069509,4893.756
1.75923630563336,4704.1445
1.7587733426704,4586.6304
1.73891962340492,4389.876
1.73891962340492,4236.637
1.75261973925373,5554.1597
1.75156672545561,5338.926
1.75064079952969,5541.429
1.74878894767784,5607.451
1.74402038593215,5721.3516
1.7503430075734,5334.5967
1.75846470069509,4893.7505
1.75923630563336,4704.1387
1.7587733426704,4586.6274
1.73891962340492,4389.8823
1.73891962340492,4236.6597
1.74878894767784,5860.947
1.75632344295743,5738.281
1.76917016806723,5443.411
1.76294000933707,4898.268
1.7503430075734,5331.6196
1.37868075007781,5315.4556
1.36808992115365,5724.445
1.4843605405125,4346.47
1.39911725801432,4986.5005
1.55001893349933,8093.5327
2.2195758118062,5694.007
1.39861465573884,4828.247
